,x,y,z
598,133572.07210000002,1415602.6366,96.85884999999999
599,133571.4682,1415602.7799499999,96.83749999999999
600,133571.16625,1415602.8592500002,96.85275
601,133570.5654,1415603.00565,96.8436
602,133570.26345,1415603.0758000002,96.83749999999999
603,133569.06175,1415603.3686000002,96.8131
604,133568.4548,1415603.515,96.81005
605,133568.15284999998,1415603.5851500002,96.80395
606,133567.8509,1415603.65835,96.79785
607,133568.8635,1415602.95685,96.82225
608,133569.1685,1415602.88975,96.84055
609,133569.4735,1415602.8043499999,96.7887
610,133570.07434999998,1415602.661,96.8192
611,133570.6752,1415602.5145999999,96.82225
612,133571.26995000002,1415602.37125,96.8497
613,133571.58104999998,1415602.295,96.82225
614,133571.8769,1415602.2218,96.8497
615,133572.1819,1415602.14555,96.83445
616,133572.47775,1415602.0754,96.86189999999999
617,133573.9753,1415601.71855,96.96865
618,133575.1892,1415601.4135500002,96.9046
619,133575.787,1415601.2641,96.9168
620,133576.3909,1415601.1176999998,96.92290000000001
621,133576.6898,1415601.04755,96.9534
622,133576.99175000002,1415600.97435,96.96865
623,133577.2876,1415600.90725,97.02964999999999
624,133577.58345,1415600.83405,97.03880000000001
625,133577.90675,1415600.7456,96.92290000000001
626,133578.2148,1415600.6663,96.88935000000001
627,133580.32845,1415600.1539,96.95035
628,133580.63955,1415600.07155,96.91375
629,133581.54845,1415599.8489,96.9107
630,133581.8565,1415599.7696,96.8741
631,133582.15540000002,1415599.6964,96.90154999999999
632,133582.45124999998,1415599.6293,96.93509999999999
633,133582.7654,1415599.55,96.8985
634,133583.07345,1415599.4707,96.88019999999999
635,133583.37540000002,1415599.3975,96.88325
636,133584.5771,1415599.1047,96.93509999999999
637,133585.19625,1415598.94915,96.8863
638,133588.2432,1415598.20495,96.94120000000001
639,133588.55125,1415598.1287,96.91985
640,133588.85319999998,1415598.0555000002,96.9473
641,133589.1704,1415597.97315,96.8985
642,133589.7743,1415597.8236999998,96.92290000000001
643,133590.39955,1415597.66815,96.85884999999999
644,133591.0065,1415597.5187,96.8924
645,133591.2993,1415597.45465,96.96560000000001
646,133591.60125,1415597.3814499998,96.96865
647,133592.53454999998,1415597.1466,96.8924
648,133592.8365,1415597.07035,96.89545
649,133593.4465,1415596.91785,96.9107
650,133594.06565,1415596.77145,96.9107
651,133594.3737,1415596.6952,96.9046
652,133594.6726,1415596.622,96.94425000000001
653,133595.2826,1415596.4695000001,96.93815
654,133595.5937,1415596.3963,96.94120000000001
655,133596.2037,1415596.2499,96.96560000000001
656,133596.50565,1415596.1736499998,96.98695000000001
657,133596.8198,1415596.0973999999,96.9595
658,133597.1065,1415596.0303,97.05404999999999
659,133598.0581,1415595.78935,96.9168
660,133598.36615,1415595.7131,96.90765
661,133598.92735,1415595.4691,96.98085
662,133598.6193,1415595.5484,96.98695000000001
663,133598.31735,1415595.61855,96.9473
664,133594.92575,1415596.4451000001,96.92595
665,133593.07135,1415596.8964999998,96.93509999999999
666,133591.85135,1415597.1893,96.88019999999999
667,133591.5494,1415597.26555,96.8863
668,133590.6222,1415597.4943,96.92595
669,133590.31720000002,1415597.5675,96.91985
670,133589.3961,1415597.7932,96.95035
671,133589.09415000002,1415597.8664000002,96.90765
672,133587.8589,1415598.16835,96.91985
673,133587.55695,1415598.24155,96.92290000000001
674,133587.24889999998,1415598.3177999998,96.92595
675,133586.94694999998,1415598.391,96.9168
676,133586.64805,1415598.4611499999,96.8985
677,133586.33695,1415598.5373999998,96.90765
678,133586.0289,1415598.61365,96.92290000000001
679,133585.42195,1415598.76005,96.88935000000001
680,133585.11085,1415598.83935,96.929
681,133584.8089,1415598.91255,96.9107
682,133582.68,1415599.43105,96.8924
683,133580.85305,1415599.8733,96.90765
684,133579.9411,1415600.09595,96.8863
685,133579.63305,1415600.1783,96.93509999999999
686,133578.4222,1415600.4711000002,96.90765
687,133575.9944,1415601.0628,96.9046
688,133575.69245,1415601.13295,96.8863
689,133575.08550000002,1415601.27935,96.9046
690,133574.78355,1415601.3556,96.88935000000001
691,133574.4816,1415601.43185,96.8924
692,133574.1766,1415601.50505,96.89545
693,133573.87465,1415601.5751999998,96.8924
694,133573.5727,1415601.6514499998,96.87715
695,133573.2738,1415601.71855,96.86495000000001
696,133571.761,1415602.09065,96.8497
697,133570.85515,1415602.3102499999,96.83445
698,133570.5532,1415602.3804000001,96.8314
699,133570.2543,1415602.4536000001,96.7948
700,133569.6504,1415602.6030499998,96.81005
701,133569.04955,1415602.7464,96.7765
702,133568.7476,1415602.8195999998,96.81005
703,133568.14675,1415602.96295,96.77345000000001
704,133567.84175000002,1415603.04225,96.8131
705,133567.54285,1415603.1154500002,96.79785
706,133567.2409,1415603.18865,96.7948
707,133567.09755,1415602.7525,96.8192
708,133567.39645,1415602.6793,96.80395
709,133567.70755000002,1415602.5969500002,96.73685
710,133568.29925,1415602.45665,96.8253
711,133569.19595,1415602.2401,96.8497
712,133569.50095000002,1415602.1638500001,96.8253
713,133569.79069999998,1415602.09675,96.8863
714,133570.6935,1415601.8741,96.88019999999999
715,133571.29434999998,1415601.7277,96.8985
716,133571.8952,1415601.5813,96.92595
717,133572.20325,1415601.50505,96.8863
718,133572.5052,1415601.4288,96.8924
